Area,0_4,5_7,8_9,10_14,15,16_17,18_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85+
Northampton,"15,845","7,848","4,716","12,138","2,466","5,168","5,659","15,345","16,950","16,250","15,724","15,096","15,299","12,662","11,083","11,605","8,344","6,497","5,278","4,057","4,039"
South Northamptonshire,"4,771","3,062","2,139","5,507","1,086","2,176","1,716","3,589","3,603","4,299","5,883","7,242","7,359","6,420","5,598","6,340","4,754","3,342","2,588","1,909","1,806"
Wellingborough,"5,038","2,755","1,719","4,595",901,"1,876","1,620","4,018","4,645","4,688","5,250","5,790","5,610","4,855","4,577","5,085","3,921","2,882","2,250","1,701","1,580"
Ashfield,"7,413","4,076","2,587","7,181","1,542","2,974","2,829","7,064","7,104","7,110","7,876","9,367","9,375","8,009","7,172","7,580","6,547","5,030","3,698","2,542","2,421"
Bassetlaw,"6,105","3,549","2,277","6,816","1,414","3,072","2,613","6,021","6,027","5,918","7,051","8,568","9,053","7,994","7,356","8,088","6,508","5,036","3,962","2,880","2,555"
Broxtowe,"6,163","3,208","2,093","5,848","1,237","2,710","2,508","6,722","6,625","6,541","7,272","8,259","8,480","7,489","6,686","7,548","5,930","4,803","3,858","2,846","2,661"
Gedling,"6,470","3,647","2,339","6,560","1,341","2,892","2,572","6,002","6,205","6,639","7,295","8,676","8,839","8,005","7,290","7,755","6,024","5,090","4,133","3,042","2,727"
Mansfield,"6,399","3,376","2,095","5,852","1,296","2,705","2,535","6,518","6,799","6,291","6,535","7,679","8,164","7,325","6,438","6,513","5,450","4,203","3,462","2,601","2,230"
Newark and Sherwood,"6,317","3,813","2,454","6,872","1,404","2,912","2,688","6,061","5,971","5,785","7,216","8,857","8,974","8,143","7,351","8,214","6,722","5,251","4,069","3,014","2,729"
Rushcliffe,"6,392","3,790","2,443","6,621","1,332","2,716","2,562","6,174","5,320","6,165","7,367","8,646","8,947","7,785","7,035","7,411","6,006","4,621","3,949","3,017","2,830"
"Herefordshire, County of","9,580","5,550","3,630","10,494","2,261","4,519","3,904","9,431","9,681","9,606","10,411","12,832","14,020","12,677","12,261","13,604","11,418","9,078","7,559","5,637","5,324"
Shropshire,"15,698","9,392","6,240","17,915","3,905","8,113","6,933","16,619","15,619","15,405","17,790","22,163","23,574","21,004","20,160","22,300","19,059","15,153","11,709","8,971","8,407"
Stoke-on-Trent,"17,092","8,935","5,254","14,260","2,825","6,233","6,977","19,089","18,156","15,829","16,113","17,810","17,353","15,534","14,009","14,721","11,616","9,368","7,480","5,639","4,715"
